X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823304.54086843,4883232.27650616,11815,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12962,,AERIAL,K,,8900,,{1CBD4AE4-D0C9-4FF4-B059-886AD5DF9F95}
-9823302.05313022,4883232.27400352,11816,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12963,,AERIAL,K,,8901,,{31D2F99A-5769-45BB-8389-3FAFD4DC41E1}
-9823299.56539201,4883232.27150026,11817,Reserved Parking Handicapped,"12"" X 18""","$250 Fine, Van Accessible",Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12964,,AERIAL,K,,8902,,{A0372D0F-33FF-4CC8-8B72-AD5A7D7FC4EC}
-9823297.07775777,4883232.16489931,11818,Stairway,"6"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12965,,AERIAL,K,,8903,,{A7703BFF-B797-42EB-9A90-93F00FF2D059}
-9823294.48633119,4883232.16229039,11819,Elevator,"6"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12966,,AERIAL,K,,8904,,{8AEDD971-E2F4-452D-8CCE-1BD9B657C439}
-9823291.8950352,4883232.15968092,11820,Neil Street via Breezeway arrow left,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12967,,AERIAL,K,,8905,,{6703D968-74DA-4955-AA2B-33146A01F43B}
-9823289.30360862,4883232.15707064,11821,Level 1,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12968,,AERIAL,K,,8906,,{104B4664-097E-4655-B5C5-55AD07F44889}
-9823245.10518579,4883231.59222216,11822,"Entrance Clearance 8'-2""","120"" X 16""", ,Hill Street Parking Deck, ,Parking Deck, ,W12-2a,Champaign,12969,,AERIAL,K,,8907,,{1412E538-DEE0-4736-B510-5B20CB12025F}
-9823389.4096644,4883237.14853562,11823,Level 2,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12970,,AERIAL,K,,8908,,{597957A7-AFC4-4D0E-9B3F-327F6137AEC6}
-9823386.92192492,4883237.1460544,11824,Exit arrow right,"14"" X 18""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12971,,AERIAL,K,,8909,,{8E2290E1-6D84-4907-816F-6ACEE0A28005}
-9823384.33049698,4883237.14346909,11825,Level 2,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12972,,AERIAL,K,,8910,,{82EB3BBE-27FF-4582-B494-7D7063946A8E}
-9823381.84275751,4883237.14098658,11826,Keep Right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck,double sided,R4-7,Champaign,12973,,AERIAL,K,,8911,,{3A17866E-0F75-4C58-9B37-1D6AA240E17F}
-9823379.25132957,4883237.13839993,11827,Emergency Phone Push Button for Assistance arrow down,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck,punched letters,N/A,Champaign,12974,,AERIAL,K,,8912,,{27D885F5-7248-4707-8314-292972115A19}
-9823376.66013536,4883237.03171563,11828,Park arrows left,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12975,,AERIAL,K,,8913,,{850A44D8-1575-4162-BA29-8B84B2519262}
